"Step","56gn10wr02bs4ep12accelerator - train/loss","56gn10wr02bs4ep12accelerator - train/loss__MIN","56gn10wr02bs4ep12accelerator - train/loss__MAX","224gn03wr03bs4ep8accelerator - train/loss","224gn03wr03bs4ep8accelerator - train/loss__MIN","224gn03wr03bs4ep8accelerator - train/loss__MAX","112gn03wr03bs4ep8accelerator - train/loss","112gn03wr03bs4ep8accelerator - train/loss__MIN","112gn03wr03bs4ep8accelerator - train/loss__MAX","28gn1wr02bs4ep20accelerator - train/loss","28gn1wr02bs4ep20accelerator - train/loss__MIN","28gn1wr02bs4ep20accelerator - train/loss__MAX"
"0","6.5744","6.5744","6.5744","6.5481","6.5481","6.5481","6.5432","6.5432","6.5432","6.734","6.734","6.734"
"2","6.9974","6.9974","6.9974","6.9487","6.9487","6.9487","6.5868","6.5868","6.5868","6.8064","6.8064","6.8064"
"4","7.0783","7.0783","7.0783","6.8984","6.8984","6.8984","6.8938","6.8938","6.8938","7.0335","7.0335","7.0335"
"6","6.8991","6.8991","6.8991","6.8629","6.8629","6.8629","6.8421","6.8421","6.8421","7.119","7.119","7.119"
"8","6.7962","6.7962","6.7962","6.7831","6.7831","6.7831","7.0312","7.0312","7.0312","6.8182","6.8182","6.8182"
"10","6.0942","6.0942","6.0942","6.2745","6.2745","6.2745","6.5768","6.5768","6.5768","6.555","6.555","6.555"
"12","6.4106","6.4106","6.4106","6.9723","6.9723","6.9723","5.9388","5.9388","5.9388","6.2644","6.2644","6.2644"
"14","5.9944","5.9944","5.9944","6.6875","6.6875","6.6875","6.6778","6.6778","6.6778","6.0091","6.0091","6.0091"
"16","5.8962","5.8962","5.8962","6.7856","6.7856","6.7856","6.3113","6.3113","6.3113","5.792","5.792","5.792"
"18","5.2601","5.2601","5.2601","6.6099","6.6099","6.6099","6.3247","6.3247","6.3247","5.1972","5.1972","5.1972"
"20","5.2717","5.2717","5.2717","6.4928","6.4928","6.4928","5.9553","5.9553","5.9553","4.6928","4.6928","4.6928"
"22","4.5944","4.5944","4.5944","6.1778","6.1778","6.1778","5.8569","5.8569","5.8569","4.096","4.096","4.096"
"24","4.1203","4.1203","4.1203","6.4387","6.4387","6.4387","5.6851","5.6851","5.6851","3.4693","3.4693","3.4693"
"26","3.3863","3.3863","3.3863","5.7186","5.7186","5.7186","5.0179","5.0179","5.0179","2.7348","2.7348","2.7348"
"28","2.6774","2.6774","2.6774","6.0019","6.0019","6.0019","4.9542","4.9542","4.9542","2.004","2.004","2.004"
"30","2.09","2.09","2.09","5.8685","5.8685","5.8685","4.7339","4.7339","4.7339","1.2769","1.2769","1.2769"
"32","1.4164","1.4164","1.4164","5.7641","5.7641","5.7641","4.022","4.022","4.022","0.7972","0.7972","0.7972"
"34","0.9008","0.9008","0.9008","5.7717","5.7717","5.7717","3.6915","3.6915","3.6915","0.5862","0.5862","0.5862"
"36","0.6704","0.6704","0.6704","5.4242","5.4242","5.4242","3.2715","3.2715","3.2715","0.5308","0.5308","0.5308"
"38","0.6124","0.6124","0.6124","5.0071","5.0071","5.0071","2.8423","2.8423","2.8423","0.5247","0.5247","0.5247"
"40","0.5313","0.5313","0.5313","4.7908","4.7908","4.7908","2.2193","2.2193","2.2193","0.6343","0.6343","0.6343"
"42","0.594","0.594","0.594","4.5335","4.5335","4.5335","1.8817","1.8817","1.8817","0.5072","0.5072","0.5072"
"44","0.5646","0.5646","0.5646","4.2607","4.2607","4.2607","1.2504","1.2504","1.2504","0.4838","0.4838","0.4838"
"46","0.5055","0.5055","0.5055","3.8742","3.8742","3.8742","0.9411","0.9411","0.9411","0.4257","0.4257","0.4257"
"48","0.5334","0.5334","0.5334","3.4903","3.4903","3.4903","0.7307","0.7307","0.7307","0.4383","0.4383","0.4383"
"50","0.5772","0.5772","0.5772","3.3257","3.3257","3.3257","0.6558","0.6558","0.6558","0.4652","0.4652","0.4652"
"52","0.4474","0.4474","0.4474","2.887","2.887","2.887","0.551","0.551","0.551","0.4309","0.4309","0.4309"
"54","0.5014","0.5014","0.5014","2.576","2.576","2.576","0.592","0.592","0.592","0.4833","0.4833","0.4833"
"56","0.4183","0.4183","0.4183","2.091","2.091","2.091","0.6263","0.6263","0.6263","0.4131","0.4131","0.4131"
"58","0.5014","0.5014","0.5014","1.5958","1.5958","1.5958","0.5038","0.5038","0.5038","0.3522","0.3522","0.3522"
"60","0.3544","0.3544","0.3544","1.3095","1.3095","1.3095","0.5569","0.5569","0.5569","0.4335","0.4335","0.4335"
"62","0.4023","0.4023","0.4023","0.9453","0.9453","0.9453","0.5987","0.5987","0.5987","0.3837","0.3837","0.3837"
"64","0.3829","0.3829","0.3829","0.7592","0.7592","0.7592","0.482","0.482","0.482","0.2722","0.2722","0.2722"
"66","0.4898","0.4898","0.4898","0.6008","0.6008","0.6008","0.586","0.586","0.586","0.3201","0.3201","0.3201"
"68","0.3814","0.3814","0.3814","0.6104","0.6104","0.6104","0.531","0.531","0.531","0.2854","0.2854","0.2854"
"70","0.2916","0.2916","0.2916","0.7706","0.7706","0.7706","0.4186","0.4186","0.4186","0.2645","0.2645","0.2645"
"72","0.3027","0.3027","0.3027","0.5556","0.5556","0.5556","0.4428","0.4428","0.4428","0.276","0.276","0.276"
"74","0.4102","0.4102","0.4102","0.547","0.547","0.547","0.4523","0.4523","0.4523","0.3332","0.3332","0.3332"
"76","0.3449","0.3449","0.3449","0.5575","0.5575","0.5575","0.3946","0.3946","0.3946","0.2498","0.2498","0.2498"
"78","0.3153","0.3153","0.3153","0.5531","0.5531","0.5531","0.381","0.381","0.381","0.2003","0.2003","0.2003"
"80","0.3424","0.3424","0.3424","0.5199","0.5199","0.5199","0.3937","0.3937","0.3937","0.2401","0.2401","0.2401"
"82","0.2768","0.2768","0.2768","0.5119","0.5119","0.5119","0.3064","0.3064","0.3064","0.1639","0.1639","0.1639"
"84","0.2829","0.2829","0.2829","0.5142","0.5142","0.5142","0.3346","0.3346","0.3346","0.1674","0.1674","0.1674"
"86","0.2795","0.2795","0.2795","0.4375","0.4375","0.4375","0.4022","0.4022","0.4022","0.2031","0.2031","0.2031"
"88","0.3205","0.3205","0.3205","0.5411","0.5411","0.5411","0.3082","0.3082","0.3082","0.2348","0.2348","0.2348"
"90","0.2235","0.2235","0.2235","0.39","0.39","0.39","0.3484","0.3484","0.3484","0.1751","0.1751","0.1751"
"92","0.2355","0.2355","0.2355","0.4293","0.4293","0.4293","0.2939","0.2939","0.2939","0.1239","0.1239","0.1239"
"94","0.1801","0.1801","0.1801","0.4163","0.4163","0.4163","0.4279","0.4279","0.4279","0.1458","0.1458","0.1458"
"96","0.1811","0.1811","0.1811","0.512","0.512","0.512","0.3001","0.3001","0.3001","0.1364","0.1364","0.1364"
"98","0.1467","0.1467","0.1467","0.4695","0.4695","0.4695","0.2335","0.2335","0.2335","0.1613","0.1613","0.1613"
"100","0.2509","0.2509","0.2509","0.4398","0.4398","0.4398","0.2727","0.2727","0.2727","0.2304","0.2304","0.2304"
"102","0.1934","0.1934","0.1934","0.4172","0.4172","0.4172","0.2153","0.2153","0.2153","0.1184","0.1184","0.1184"
"104","0.1859","0.1859","0.1859","0.3835","0.3835","0.3835","0.1986","0.1986","0.1986","0.1111","0.1111","0.1111"
"106","0.1205","0.1205","0.1205","0.3308","0.3308","0.3308","0.238","0.238","0.238","0.0895","0.0895","0.0895"
"108","0.146","0.146","0.146","0.3446","0.3446","0.3446","0.2208","0.2208","0.2208","0.1185","0.1185","0.1185"
"110","0.1854","0.1854","0.1854","0.3213","0.3213","0.3213","0.2734","0.2734","0.2734","0.1181","0.1181","0.1181"
"112","0.1699","0.1699","0.1699","0.4013","0.4013","0.4013","0.1673","0.1673","0.1673","0.1268","0.1268","0.1268"
"114","0.2108","0.2108","0.2108","0.3331","0.3331","0.3331","0.3314","0.3314","0.3314","0.1332","0.1332","0.1332"
"116","0.1303","0.1303","0.1303","0.3228","0.3228","0.3228","0.2172","0.2172","0.2172","0.1032","0.1032","0.1032"
"118","0.1501","0.1501","0.1501","0.3106","0.3106","0.3106","0.2347","0.2347","0.2347","0.1793","0.1793","0.1793"
"120","0.1168","0.1168","0.1168","0.2771","0.2771","0.2771","0.2336","0.2336","0.2336","0.1109","0.1109","0.1109"
"122","0.1274","0.1274","0.1274","0.3303","0.3303","0.3303","0.2341","0.2341","0.2341","0.0689","0.0689","0.0689"
"124","0.1346","0.1346","0.1346","0.2883","0.2883","0.2883","0.1309","0.1309","0.1309","0.0744","0.0744","0.0744"
"126","0.2328","0.2328","0.2328","0.2915","0.2915","0.2915","0.2457","0.2457","0.2457","0.0883","0.0883","0.0883"
"128","0.2181","0.2181","0.2181","0.2097","0.2097","0.2097","0.1493","0.1493","0.1493","0.1404","0.1404","0.1404"
"130","0.1451","0.1451","0.1451","0.2895","0.2895","0.2895","0.1868","0.1868","0.1868","0.0937","0.0937","0.0937"
"132","0.1419","0.1419","0.1419","0.2472","0.2472","0.2472","0.2147","0.2147","0.2147","0.1017","0.1017","0.1017"
"134","0.1605","0.1605","0.1605","0.2477","0.2477","0.2477","0.2341","0.2341","0.2341","0.0873","0.0873","0.0873"
